link_id,epoch,C_l,rho_C_l,C_effective_l,planner_grant_sum_bps,target_rate_sum_bps,applied_rate_sum_bps,actual_tx_rate_sum_bps,background_rate_bps,legacy_floor_rate_bps,flows_below_legacy_floor,floor_clamp_count,rate_clamp_delta_sum_bps,zero_grant_flow_count,paused_zero_grant_count,applied_capacity_excess_bps,applied_capacity_violation,actual_arrival_excess_bps,base_capacity_bps,boost_effective_bps,drain_effective_bps,effective_planner_budget_bps,arrival_rate_bps,served_rate_bps,unallocated_delta_bps,clamp_reason,admission_grant_sum_bps,planner_target_sum_bps,full_unallocated_bps,unallocated_reason,explicit_fixed_reserved_bps,fill_invoked,active_control_qps,input_budget_bps,returned_target_sum_bps,skip_reason,excl_scope,excl_finished,excl_wrong_generation,excl_missing_path,floor_set_count,background_in_control
0,2002,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,0,0,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2003,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,6400000000,6400000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2004,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2005,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2006,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2007,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2008,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2009,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2010,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
0,2011,10000000000,9000000000,9000000000,10000000000,10000000000,9500000000,9139200000,0,1702400000,0,0,0,0,0,500000000,1,139200000,9000000000,0,0,9000000000,9600000000,9600000000,0,0,10000000000,10000000000,0,0,0,1,1,10000000000,10000000000,0,0,0,0,0,1,1
