time_ns,event,node_id,ifindex,link_id,packet_uid,size_bytes
1989995293,TX_END,84,1,0,1891089,1048
1989995502,TX_BEGIN,84,1,0,1891091,1048
1989996340,TX_END,84,1,0,1891091,1048
1989996549,TX_BEGIN,84,1,0,1891093,1048
1989997387,TX_END,84,1,0,1891093,1048
1989997596,TX_BEGIN,84,1,0,1891095,1048
1989998434,TX_END,84,1,0,1891095,1048
1989998643,TX_BEGIN,84,1,0,1891097,1048
1989999481,TX_END,84,1,0,1891097,1048
1989999690,TX_BEGIN,84,1,0,1891099,1048
1990000528,TX_END,84,1,0,1891099,1048
1990000737,TX_BEGIN,84,1,0,1891101,1048
1990001575,TX_END,84,1,0,1891101,1048
1990001784,TX_BEGIN,84,1,0,1891103,1048
1990002622,TX_END,84,1,0,1891103,1048
1990002831,TX_BEGIN,84,1,0,1891105,1048
1990003669,TX_END,84,1,0,1891105,1048
1990003878,TX_BEGIN,84,1,0,1891107,1048
1990004716,TX_END,84,1,0,1891107,1048
1990004925,TX_BEGIN,84,1,0,1891109,1048
1990005763,TX_END,84,1,0,1891109,1048
1990005972,TX_BEGIN,84,1,0,1891111,1048
1990006810,TX_END,84,1,0,1891111,1048
1990007019,TX_BEGIN,84,1,0,1891113,1048
1990007857,TX_END,84,1,0,1891113,1048
1990008066,TX_BEGIN,84,1,0,1891115,1048
1990008904,TX_END,84,1,0,1891115,1048
1990009113,TX_BEGIN,84,1,0,1891117,1048
1990009951,TX_END,84,1,0,1891117,1048
1990010160,TX_BEGIN,84,1,0,1891119,1048
1990010998,TX_END,84,1,0,1891119,1048
1990011207,TX_BEGIN,84,1,0,1891121,1048
1990012045,TX_END,84,1,0,1891121,1048
1990012254,TX_BEGIN,84,1,0,1891123,1048
1990013092,TX_END,84,1,0,1891123,1048
1990013301,TX_BEGIN,84,1,0,1891125,1048
1990014139,TX_END,84,1,0,1891125,1048
1990014348,TX_BEGIN,84,1,0,1891127,1048
1990015186,TX_END,84,1,0,1891127,1048
1990015395,TX_BEGIN,84,1,0,1891129,1048
1990016233,TX_END,84,1,0,1891129,1048
1990016442,TX_BEGIN,84,1,0,1891131,1048
1990017280,TX_END,84,1,0,1891131,1048
1990017489,TX_BEGIN,84,1,0,1891133,1048
1990018327,TX_END,84,1,0,1891133,1048
1990018536,TX_BEGIN,84,1,0,1891135,1048
