sample_time_ns,delivery_time_ns,link_id,switch_id,egress_port,capacity_bps,queue_bytes,previous_queue_bytes,input_bytes_delta,output_bytes_delta,ecn_marks_delta,pfc_events_delta,pause_duration_delta_ns,arrival_rate_bps,service_rate_bps,queue_gradient_bytes_per_second,port_state,root_id,root_reason,effective_capacity_bps,active_controlled_flows,pending_controlled_flows,local_paused,downstream_paused,stale
9995000,10000000,0,84,1,200000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,190400000000,0,1,0,0,0
10000000,10005000,0,84,1,200000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,190400000000,0,1,0,0,0
10005000,10010000,0,84,1,200000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,190400000000,1,0,0,0,0
10010000,10015000,0,84,1,200000000000,0,0,80000,80000,0,0,0,1.28e+11,1.28e+11,0,0,0,0,190400000000,1,0,0,0,0
10015000,10020000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10020000,10025000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10025000,10030000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10030000,10035000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10035000,10040000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10040000,10045000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10045000,10050000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10050000,10055000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10055000,10060000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10060000,10065000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10065000,10070000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10070000,10075000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10075000,10080000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10080000,10085000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
10085000,10090000,0,84,1,200000000000,0,0,100000,100000,0,0,0,1.6e+11,1.6e+11,0,0,0,0,190400000000,1,0,0,0,0
