flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,513363,0,0,655866398844.000,2000000000,200000000000,200000000000.000
1,0b000001-0b004001-10000-3,1,8812,0,0,313423112026.000,2000000000,200000000000,200000000000.000
2,0b000101-0b004001-10000-3,1,8812,0,0,313028937343.000,2000000000,200000000000,200000000000.000
3,0b000201-0b004001-10000-3,1,8812,0,0,311575431538.000,2000000000,200000000000,200000000000.000
4,0b000301-0b004001-10000-3,1,8812,0,0,307887509590.000,2000000000,200000000000,200000000000.000
5,0b000401-0b004001-10000-3,1,8812,0,0,309980904401.000,2000000000,200000000000,200000000000.000
6,0b000501-0b004001-10000-3,1,8812,0,0,303918132753.000,2000000000,200000000000,200000000000.000
7,0b000601-0b004001-10000-3,1,8812,0,0,307833351131.000,2000000000,200000000000,200000000000.000
8,0b000701-0b004001-10000-3,1,8812,0,0,303746739090.000,2000000000,200000000000,200000000000.000
9,0b000801-0b004001-10000-3,1,8812,0,0,311595724001.000,2000000000,200000000000,200000000000.000
10,0b000901-0b004001-10000-3,1,8812,0,0,303694821501.000,2000000000,200000000000,200000000000.000
11,0b000a01-0b004001-10000-3,1,8812,0,0,305662940929.000,2000000000,200000000000,200000000000.000
12,0b000b01-0b004001-10000-3,1,8812,0,0,305633088145.000,2000000000,200000000000,200000000000.000
13,0b000c01-0b004001-10000-3,1,8812,0,0,306578554623.000,2000000000,200000000000,200000000000.000
14,0b000d01-0b004001-10000-3,1,8812,0,0,306506067563.000,2000000000,200000000000,200000000000.000
15,0b000e01-0b004001-10000-3,1,8812,0,0,310461771909.000,2000000000,200000000000,200000000000.000
16,0b000f01-0b004001-10000-3,1,8812,0,0,307405873330.000,2000000000,200000000000,200000000000.000
17,0b001001-0b004001-10000-3,1,8812,0,0,307141729026.000,2000000000,200000000000,200000000000.000
18,0b001101-0b004001-10000-3,1,8812,0,0,308314770759.000,2000000000,200000000000,200000000000.000
19,0b001201-0b004001-10000-3,1,8812,0,0,303564735076.000,2000000000,200000000000,200000000000.000
20,0b001301-0b004001-10000-3,1,8812,0,0,306369297715.000,2000000000,200000000000,200000000000.000
21,0b001401-0b004001-10000-3,1,8812,0,0,312280485355.000,2000000000,200000000000,200000000000.000
22,0b001501-0b004001-10000-3,1,8812,0,0,311207982526.000,2000000000,200000000000,200000000000.000
23,0b001601-0b004001-10000-3,1,8812,0,0,309539569032.000,2000000000,200000000000,200000000000.000
24,0b001701-0b004001-10000-3,1,8812,0,0,310998285398.000,2000000000,200000000000,200000000000.000
25,0b001801-0b004001-10000-3,1,8812,0,0,308225187392.000,2000000000,200000000000,200000000000.000
26,0b001901-0b004001-10000-3,1,8812,0,0,311755153748.000,2000000000,200000000000,200000000000.000
27,0b001a01-0b004001-10000-3,1,8812,0,0,304238217225.000,2000000000,200000000000,200000000000.000
28,0b001b01-0b004001-10000-3,1,8812,0,0,307280347553.000,2000000000,200000000000,200000000000.000
29,0b001c01-0b004001-10000-3,1,8812,0,0,303899719189.000,2000000000,200000000000,200000000000.000
30,0b001d01-0b004001-10000-3,1,8812,0,0,306609150513.000,2000000000,200000000000,200000000000.000
31,0b001e01-0b004001-10000-3,1,8812,0,0,302608233382.000,2000000000,200000000000,200000000000.000
32,0b001f01-0b004001-10000-3,1,8812,0,0,303494798155.000,2000000000,200000000000,200000000000.000
