flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,515358,0,0,408892311326.000,2000000000,200000000000,200000000000.000
1,0b000001-0b004001-10000-3,1,4406,0,0,255233533464.000,2000000000,200000000000,200000000000.000
2,0b000101-0b004001-10000-3,1,4406,0,0,262711752142.000,2000000000,200000000000,200000000000.000
3,0b000201-0b004001-10000-3,1,4406,0,0,262073117719.000,2000000000,200000000000,200000000000.000
4,0b000301-0b004001-10000-3,1,4406,0,0,258109855721.000,2000000000,200000000000,200000000000.000
5,0b000401-0b004001-10000-3,1,4406,0,0,253734047671.000,2000000000,200000000000,200000000000.000
6,0b000501-0b004001-10000-3,1,4406,0,0,255977685674.000,2000000000,200000000000,200000000000.000
7,0b000601-0b004001-10000-3,1,4406,0,0,254063832766.000,2000000000,200000000000,200000000000.000
8,0b000701-0b004001-10000-3,1,4406,0,0,251596678377.000,2000000000,200000000000,200000000000.000
9,0b000801-0b004001-10000-3,1,4406,0,0,262374848219.000,2000000000,200000000000,200000000000.000
10,0b000901-0b004001-10000-3,1,4406,0,0,259104042048.000,2000000000,200000000000,200000000000.000
11,0b000a01-0b004001-10000-3,1,4406,0,0,253446133485.000,2000000000,200000000000,200000000000.000
12,0b000b01-0b004001-10000-3,1,4406,0,0,261186905105.000,2000000000,200000000000,200000000000.000
13,0b000c01-0b004001-10000-3,1,4406,0,0,252773682807.000,2000000000,200000000000,200000000000.000
14,0b000d01-0b004001-10000-3,1,4406,0,0,251056698604.000,2000000000,200000000000,200000000000.000
15,0b000e01-0b004001-10000-3,1,4406,0,0,255254050262.000,2000000000,200000000000,200000000000.000
16,0b000f01-0b004001-10000-3,1,4406,0,0,252210185098.000,2000000000,200000000000,200000000000.000
17,0b001001-0b004001-10000-3,1,4406,0,0,256111368207.000,2000000000,200000000000,200000000000.000
18,0b001101-0b004001-10000-3,1,4406,0,0,255894586269.000,2000000000,200000000000,200000000000.000
