time_ns,generation,flow_id,old_rate_bps,rate_bps,stage,delta_prev_stage_ns,delta_from_command_ns,seq
100010000,1,0,320000000000,233599999999,rate_command,0,0,0
100010000,1,0,0,233599999999,sender_rate_effect,0,0,3215484522
100010000,2,1,4201680672,4828749999,rate_command,0,0,0
100010000,3,2,4201680672,4828749999,rate_command,0,0,0
100010000,4,3,4201680672,4828749999,rate_command,0,0,0
100010000,5,4,4201680672,4828749999,rate_command,0,0,0
100010000,6,5,4201680672,4828749999,rate_command,0,0,0
100010000,7,6,4201680672,4828749999,rate_command,0,0,0
100010000,8,7,4201680672,4828749999,rate_command,0,0,0
100010000,9,8,4201680672,4828749999,rate_command,0,0,0
100010000,10,9,4201680672,4828749999,rate_command,0,0,0
100010000,11,10,4201680672,4828749999,rate_command,0,0,0
100010000,12,11,4201680672,4828749999,rate_command,0,0,0
100010000,13,12,4201680672,4828749999,rate_command,0,0,0
100010000,14,13,4201680672,4828749999,rate_command,0,0,0
100010000,15,14,4201680672,4828749999,rate_command,0,0,0
100010000,16,15,4201680672,4828749999,rate_command,0,0,0
100010000,17,16,4201680672,4828749999,rate_command,0,0,0
100010000,18,17,4201680672,4828749999,rate_command,0,0,0
100010000,19,18,4201680672,4828749999,rate_command,0,0,0
100010000,20,19,4201680672,4828749999,rate_command,0,0,0
100010000,21,20,4201680672,4828749999,rate_command,0,0,0
100010000,22,21,4201680672,4828749999,rate_command,0,0,0
100010000,23,22,4201680672,4828749999,rate_command,0,0,0
100010000,24,23,4201680672,4828749999,rate_command,0,0,0
100010000,25,24,4201680672,4828749999,rate_command,0,0,0
100010000,26,25,4201680672,4828749999,rate_command,0,0,0
100010000,27,26,4201680672,4828749999,rate_command,0,0,0
100010000,28,27,4201680672,4828749999,rate_command,0,0,0
100010000,29,28,4201680672,4828749999,rate_command,0,0,0
100010000,30,29,4201680672,4828749999,rate_command,0,0,0
100010000,31,30,4201680672,4828749999,rate_command,0,0,0
100010000,32,31,4201680672,4828749999,rate_command,0,0,0
