time_ns,event,link_id,node_id,if_index,packet_uid,packet_bytes
20005060,TX_BEGIN,0,84,1,0,1000
20005080,TX_END,0,84,1,0,1000
20005080,TX_BEGIN,0,84,1,1,1000
20005100,TX_END,0,84,1,1,1000
20005100,TX_BEGIN,0,84,1,2,1000
20005120,TX_END,0,84,1,2,1000
20005120,TX_BEGIN,0,84,1,3,1000
20005140,TX_END,0,84,1,3,1000
20005140,TX_BEGIN,0,84,1,4,1000
20005160,TX_END,0,84,1,4,1000
20005160,TX_BEGIN,0,84,1,5,1000
20005180,TX_END,0,84,1,5,1000
20005180,TX_BEGIN,0,84,1,6,1000
20005200,TX_END,0,84,1,6,1000
20005200,TX_BEGIN,0,84,1,7,1000
20005220,TX_END,0,84,1,7,1000
20005220,TX_BEGIN,0,84,1,8,1000
20005240,TX_END,0,84,1,8,1000
20005240,TX_BEGIN,0,84,1,9,1000
20005260,TX_END,0,84,1,9,1000
20005260,TX_BEGIN,0,84,1,10,1000
20005280,TX_END,0,84,1,10,1000
20005280,TX_BEGIN,0,84,1,11,1000
20005300,TX_END,0,84,1,11,1000
20005300,TX_BEGIN,0,84,1,12,1000
20005320,TX_END,0,84,1,12,1000
20005320,TX_BEGIN,0,84,1,13,1000
20005340,TX_END,0,84,1,13,1000
20005340,TX_BEGIN,0,84,1,14,1000
20005360,TX_END,0,84,1,14,1000
20005360,TX_BEGIN,0,84,1,15,1000
20005380,TX_END,0,84,1,15,1000
20005380,TX_BEGIN,0,84,1,16,1000
20005400,TX_END,0,84,1,16,1000
20005400,TX_BEGIN,0,84,1,17,1000
20005420,TX_END,0,84,1,17,1000
20005420,TX_BEGIN,0,84,1,18,1000
20005440,TX_END,0,84,1,18,1000
20005440,TX_BEGIN,0,84,1,19,1000
20005460,TX_END,0,84,1,19,1000
20005460,TX_BEGIN,0,84,1,20,1000
20005480,TX_END,0,84,1,20,1000
20005480,TX_BEGIN,0,84,1,21,1000
20005500,TX_END,0,84,1,21,1000
20005500,TX_BEGIN,0,84,1,22,1000
20005520,TX_END,0,84,1,22,1000
20005520,TX_BEGIN,0,84,1,23,1000
20005540,TX_END,0,84,1,23,1000
20005540,TX_BEGIN,0,84,1,24,1000
20005560,TX_END,0,84,1,24,1000
20005560,TX_BEGIN,0,84,1,25,1000
20005580,TX_END,0,84,1,25,1000
20005580,TX_BEGIN,0,84,1,26,1000
20005600,TX_END,0,84,1,26,1000
20005600,TX_BEGIN,0,84,1,27,1000
20005620,TX_END,0,84,1,27,1000
20005620,TX_BEGIN,0,84,1,28,1000
20005640,TX_END,0,84,1,28,1000
20005640,TX_BEGIN,0,84,1,29,1000
20005660,TX_END,0,84,1,29,1000
20005660,TX_BEGIN,0,84,1,30,1000
20005680,TX_END,0,84,1,30,1000
20005680,TX_BEGIN,0,84,1,31,1000
20005700,TX_END,0,84,1,31,1000
20005700,TX_BEGIN,0,84,1,32,1000
20005720,TX_END,0,84,1,32,1000
20005720,TX_BEGIN,0,84,1,33,1000
20005740,TX_END,0,84,1,33,1000
20005740,TX_BEGIN,0,84,1,34,1000
20005760,TX_END,0,84,1,34,1000
20005760,TX_BEGIN,0,84,1,35,1000
20005780,TX_END,0,84,1,35,1000
20005780,TX_BEGIN,0,84,1,36,1000
20005800,TX_END,0,84,1,36,1000
20005800,TX_BEGIN,0,84,1,37,1000
20005820,TX_END,0,84,1,37,1000
20005820,TX_BEGIN,0,84,1,38,1000
20005840,TX_END,0,84,1,38,1000
20005840,TX_BEGIN,0,84,1,39,1000
20005860,TX_END,0,84,1,39,1000
20005860,TX_BEGIN,0,84,1,40,1000
20005880,TX_END,0,84,1,40,1000
20005880,TX_BEGIN,0,84,1,41,1000
20005900,TX_END,0,84,1,41,1000
20005900,TX_BEGIN,0,84,1,42,1000
20005920,TX_END,0,84,1,42,1000
20005920,TX_BEGIN,0,84,1,43,1000
20005940,TX_END,0,84,1,43,1000
20005940,TX_BEGIN,0,84,1,44,1000
20005960,TX_END,0,84,1,44,1000
20005960,TX_BEGIN,0,84,1,45,1000
20005980,TX_END,0,84,1,45,1000
20005980,TX_BEGIN,0,84,1,46,1000
20006000,TX_END,0,84,1,46,1000
20006000,TX_BEGIN,0,84,1,47,1000
20006020,TX_END,0,84,1,47,1000
20006020,TX_BEGIN,0,84,1,48,1000
20006040,TX_END,0,84,1,48,1000
20006040,TX_BEGIN,0,84,1,49,1000
20006060,TX_END,0,84,1,49,1000
20006060,TX_BEGIN,0,84,1,50,1000
20006080,TX_END,0,84,1,50,1000
20006080,TX_BEGIN,0,84,1,51,1000
20006100,TX_END,0,84,1,51,1000
20006100,TX_BEGIN,0,84,1,52,1000
20006120,TX_END,0,84,1,52,1000
20006120,TX_BEGIN,0,84,1,53,1000
20006140,TX_END,0,84,1,53,1000
20006140,TX_BEGIN,0,84,1,54,1000
20006160,TX_END,0,84,1,54,1000
20006160,TX_BEGIN,0,84,1,55,1000
20006180,TX_END,0,84,1,55,1000
20006180,TX_BEGIN,0,84,1,56,1000
20006200,TX_END,0,84,1,56,1000
20006200,TX_BEGIN,0,84,1,57,1000
20006220,TX_END,0,84,1,57,1000
20006220,TX_BEGIN,0,84,1,58,1000
20006240,TX_END,0,84,1,58,1000
20006240,TX_BEGIN,0,84,1,59,1000
20006260,TX_END,0,84,1,59,1000
20006260,TX_BEGIN,0,84,1,60,1000
20006280,TX_END,0,84,1,60,1000
20006280,TX_BEGIN,0,84,1,61,1000
20006300,TX_END,0,84,1,61,1000
20006300,TX_BEGIN,0,84,1,62,1000
20006320,TX_END,0,84,1,62,1000
20006320,TX_BEGIN,0,84,1,63,1000
20006340,TX_END,0,84,1,63,1000
20006340,TX_BEGIN,0,84,1,64,1000
20006360,TX_END,0,84,1,64,1000
20006360,TX_BEGIN,0,84,1,65,1000
20006380,TX_END,0,84,1,65,1000
20006380,TX_BEGIN,0,84,1,66,1000
20006400,TX_END,0,84,1,66,1000
20006400,TX_BEGIN,0,84,1,67,1000
20006420,TX_END,0,84,1,67,1000
20006420,TX_BEGIN,0,84,1,68,1000
20006440,TX_END,0,84,1,68,1000
20006440,TX_BEGIN,0,84,1,69,1000
20006460,TX_END,0,84,1,69,1000
20006460,TX_BEGIN,0,84,1,70,1000
20006480,TX_END,0,84,1,70,1000
20006480,TX_BEGIN,0,84,1,71,1000
20006500,TX_END,0,84,1,71,1000
20006500,TX_BEGIN,0,84,1,72,1000
20006520,TX_END,0,84,1,72,1000
20006520,TX_BEGIN,0,84,1,73,1000
20006540,TX_END,0,84,1,73,1000
20006540,TX_BEGIN,0,84,1,74,1000
20006560,TX_END,0,84,1,74,1000
20006560,TX_BEGIN,0,84,1,75,1000
20006580,TX_END,0,84,1,75,1000
20006580,TX_BEGIN,0,84,1,76,1000
20006600,TX_END,0,84,1,76,1000
20006600,TX_BEGIN,0,84,1,77,1000
20006620,TX_END,0,84,1,77,1000
20006620,TX_BEGIN,0,84,1,78,1000
20006640,TX_END,0,84,1,78,1000
20006640,TX_BEGIN,0,84,1,79,1000
20006660,TX_END,0,84,1,79,1000
20006660,TX_BEGIN,0,84,1,80,1000
20006680,TX_END,0,84,1,80,1000
20006680,TX_BEGIN,0,84,1,81,1000
20006700,TX_END,0,84,1,81,1000
20006700,TX_BEGIN,0,84,1,82,1000
20006720,TX_END,0,84,1,82,1000
20006720,TX_BEGIN,0,84,1,83,1000
20006740,TX_END,0,84,1,83,1000
20006740,TX_BEGIN,0,84,1,84,1000
20006760,TX_END,0,84,1,84,1000
20006760,TX_BEGIN,0,84,1,85,1000
20006780,TX_END,0,84,1,85,1000
20006780,TX_BEGIN,0,84,1,86,1000
20006800,TX_END,0,84,1,86,1000
20006800,TX_BEGIN,0,84,1,87,1000
20006820,TX_END,0,84,1,87,1000
20006820,TX_BEGIN,0,84,1,88,1000
20006840,TX_END,0,84,1,88,1000
20006840,TX_BEGIN,0,84,1,89,1000
20006860,TX_END,0,84,1,89,1000
20006860,TX_BEGIN,0,84,1,90,1000
20006880,TX_END,0,84,1,90,1000
20006880,TX_BEGIN,0,84,1,91,1000
20006900,TX_END,0,84,1,91,1000
20006900,TX_BEGIN,0,84,1,92,1000
20006920,TX_END,0,84,1,92,1000
20006920,TX_BEGIN,0,84,1,93,1000
20006940,TX_END,0,84,1,93,1000
20006940,TX_BEGIN,0,84,1,94,1000
20006960,TX_END,0,84,1,94,1000
20006960,TX_BEGIN,0,84,1,95,1000
20006980,TX_END,0,84,1,95,1000
20006980,TX_BEGIN,0,84,1,96,1000
20007000,TX_END,0,84,1,96,1000
20007000,TX_BEGIN,0,84,1,97,1000
20007020,TX_END,0,84,1,97,1000
20007020,TX_BEGIN,0,84,1,98,1000
20007040,TX_END,0,84,1,98,1000
20007040,TX_BEGIN,0,84,1,99,1000
20007060,TX_END,0,84,1,99,1000
20007060,TX_BEGIN,0,84,1,100,1000
20007080,TX_END,0,84,1,100,1000
20007080,TX_BEGIN,0,84,1,101,1000
20007100,TX_END,0,84,1,101,1000
20007100,TX_BEGIN,0,84,1,102,1000
20007120,TX_END,0,84,1,102,1000
20007120,TX_BEGIN,0,84,1,103,1000
20007140,TX_END,0,84,1,103,1000
20007140,TX_BEGIN,0,84,1,104,1000
20007160,TX_END,0,84,1,104,1000
20007160,TX_BEGIN,0,84,1,105,1000
20007180,TX_END,0,84,1,105,1000
20007180,TX_BEGIN,0,84,1,106,1000
20007200,TX_END,0,84,1,106,1000
20007200,TX_BEGIN,0,84,1,107,1000
20007220,TX_END,0,84,1,107,1000
20007220,TX_BEGIN,0,84,1,108,1000
20007240,TX_END,0,84,1,108,1000
20007240,TX_BEGIN,0,84,1,109,1000
20007260,TX_END,0,84,1,109,1000
20007260,TX_BEGIN,0,84,1,110,1000
20007280,TX_END,0,84,1,110,1000
20007280,TX_BEGIN,0,84,1,111,1000
20007300,TX_END,0,84,1,111,1000
20007300,TX_BEGIN,0,84,1,112,1000
20007320,TX_END,0,84,1,112,1000
20007320,TX_BEGIN,0,84,1,113,1000
