algorithm,n_runs,metric,value
dcqcn,1,incast_n,64.000000
dcqcn,1,incast_done,64.000000
dcqcn,1,completion_rate_pct,100.000000
dcqcn,1,fct_mean_ms,69.796115
dcqcn,1,fct_p50_ms,70.112656
dcqcn,1,fct_p95_ms,70.453325
dcqcn,1,fct_p99_ms,70.454985
dcqcn,1,fct_min_ms,68.900698
dcqcn,1,fct_max_ms,70.455609
dcqcn,1,cct_ms,170.455609
dcqcn,1,incast_agg_gbps,1.904997
dcqcn,1,incast_fairness_jain,0.999928
dcqcn,1,bg_completed,0.000000
dcqcn,1,bg_before_gbps,7.640882
dcqcn,1,bg_during_gbps,7.640835
dcqcn,1,bg_after_gbps,7.640883
dcqcn,1,bg_min_gbps,7.636364
dcqcn,1,bg_drop_pct,0.059129
dcqcn,1,bg_retention_pct,99.999396
dcqcn,1,bg_recovery90_ms,0.000000
dcqcn,1,bg_recovery90_ms_never_dipped,1.000000
dcqcn,1,bg_recovery95_ms,0.000000
dcqcn,1,bg_recovery95_ms_never_dipped,1.000000
dcqcn,1,bg_service_debt_bytes,2567359000.000000
dcqcn,1,bg_retx_bytes,0.000000
dcqcn,1,bg_retx_events,0.000000
dcqcn,1,bg_n_flows,1.000000
dcqcn,1,bg_service_debt_window_s,2.500000
dcqcn,1,total_acked_bytes,1449437216.000000
dcqcn,1,util_mean,0.883294
dcqcn,1,queue_mean_bytes,504284.353866
dcqcn,1,queue_p95_bytes,1271224.000000
dcqcn,1,queue_p99_bytes,1271224.000000
dcqcn,1,queue_peak_bytes,1272272.000000
dcqcn,1,over_qmin_pct,40.830693
dcqcn,1,over_qmax_pct,40.332043
dcqcn,1,queue_recovery_ms,69.270000
dcqcn,1,queue_final_bytes,0.000000
dcqcn,1,queue_drained,1.000000
dcqcn,1,ecn_marks,2271.000000
dcqcn,1,pfc_events,0.000000
dcqcn,1,pfc_paused_samples,0.000000
dcqcn,1,pfc_pause_total_ns,0.000000
dcqcn,1,drops,0.000000
dcqcn,1,retx_bytes_total,0.000000
dcqcn,1,retx_events_total,0.000000
dcqcn,1,oversub_peak_bytes,872272.000000
dcqcn,1,oversub_peak_ratio,3.180680
dcqcn,1,oversub_duration_ms,68.750000
dcqcn,1,oversub_longest_run_ms,68.750000
dcqcn,1,qmax_exceed_ratio,3.180680
dcqcn,1,recovery_rtts,4557.236842
dcqcn,1,qmax_bytes,400000.000000
dcqcn,1,qmin_bytes,200000.000000
dcqcn,1,n_links,1.000000
dctcp,1,incast_n,64.000000
dctcp,1,incast_done,64.000000
dctcp,1,completion_rate_pct,100.000000
dctcp,1,fct_mean_ms,69.799389
dctcp,1,fct_p50_ms,70.112656
dctcp,1,fct_p95_ms,70.449135
dctcp,1,fct_p99_ms,70.454985
dctcp,1,fct_min_ms,68.900698
dctcp,1,fct_max_ms,70.455609
dctcp,1,cct_ms,170.455609
dctcp,1,incast_agg_gbps,1.904997
dctcp,1,incast_fairness_jain,0.999928
dctcp,1,bg_completed,0.000000
dctcp,1,bg_before_gbps,7.640882
dctcp,1,bg_during_gbps,7.640835
dctcp,1,bg_after_gbps,7.640883
dctcp,1,bg_min_gbps,7.636364
dctcp,1,bg_drop_pct,0.059129
dctcp,1,bg_retention_pct,99.999396
dctcp,1,bg_recovery90_ms,0.000000
dctcp,1,bg_recovery90_ms_never_dipped,1.000000
dctcp,1,bg_recovery95_ms,0.000000
dctcp,1,bg_recovery95_ms_never_dipped,1.000000
