flow_id,qp_id,total_rounds,direct_hpcc_updates,gated_late_updates,gated_stale_updates,rate_total_variation,minimum_rate,maximum_rate,mean_round_start_rate
0,0b004101-0b004001-10000-3,1,26008,0,0,21943224132.000,100000000,10000000000,10000000000.000
1,0b000001-0b004001-10000-3,1,276,0,0,15204179440.000,100000000,10000000000,10000000000.000
2,0b000101-0b004001-10000-3,1,276,0,0,14691075729.000,100000000,10000000000,10000000000.000
3,0b000201-0b004001-10000-3,1,276,0,0,14697172380.000,100000000,10000000000,10000000000.000
4,0b000301-0b004001-10000-3,1,276,0,0,13900828447.000,100000000,10000000000,10000000000.000
5,0b000401-0b004001-10000-3,1,276,0,0,14411200245.000,100000000,10000000000,10000000000.000
6,0b000501-0b004001-10000-3,1,276,0,0,14323431584.000,100000000,10000000000,10000000000.000
7,0b000601-0b004001-10000-3,1,276,0,0,14518554096.000,100000000,10000000000,10000000000.000
8,0b000701-0b004001-10000-3,1,276,0,0,14085484863.000,100000000,10000000000,10000000000.000
9,0b000801-0b004001-10000-3,1,276,0,0,14349816382.000,100000000,10000000000,10000000000.000
10,0b000901-0b004001-10000-3,1,276,0,0,13365732840.000,100000000,10000000000,10000000000.000
11,0b000a01-0b004001-10000-3,1,276,0,0,14736871793.000,100000000,10000000000,10000000000.000
12,0b000b01-0b004001-10000-3,1,276,0,0,14358343133.000,100000000,10000000000,10000000000.000
13,0b000c01-0b004001-10000-3,1,276,0,0,14355553166.000,100000000,10000000000,10000000000.000
14,0b000d01-0b004001-10000-3,1,276,0,0,13914841282.000,100000000,10000000000,10000000000.000
15,0b000e01-0b004001-10000-3,1,276,0,0,14199115193.000,100000000,10000000000,10000000000.000
16,0b000f01-0b004001-10000-3,1,276,0,0,14127147841.000,100000000,10000000000,10000000000.000
17,0b001001-0b004001-10000-3,1,276,0,0,14601060285.000,100000000,10000000000,10000000000.000
18,0b001101-0b004001-10000-3,1,276,0,0,13980768876.000,100000000,10000000000,10000000000.000
19,0b001201-0b004001-10000-3,1,276,0,0,14329865121.000,100000000,10000000000,10000000000.000
20,0b001301-0b004001-10000-3,1,276,0,0,14817605213.000,100000000,10000000000,10000000000.000
21,0b001401-0b004001-10000-3,1,276,0,0,15066700774.000,100000000,10000000000,10000000000.000
22,0b001501-0b004001-10000-3,1,276,0,0,14731402876.000,100000000,10000000000,10000000000.000
23,0b001601-0b004001-10000-3,1,276,0,0,13755932054.000,100000000,10000000000,10000000000.000
24,0b001701-0b004001-10000-3,1,276,0,0,14523290188.000,100000000,10000000000,10000000000.000
25,0b001801-0b004001-10000-3,1,276,0,0,13521623847.000,100000000,10000000000,10000000000.000
26,0b001901-0b004001-10000-3,1,276,0,0,14415549062.000,100000000,10000000000,10000000000.000
27,0b001a01-0b004001-10000-3,1,276,0,0,15014869720.000,100000000,10000000000,10000000000.000
28,0b001b01-0b004001-10000-3,1,276,0,0,14117622356.000,100000000,10000000000,10000000000.000
